ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,semestre,rango_horario
2021-0038,1,2021-05-14,2021,5,14,11:40:00,11,"JUSTO, JUAN B. AV. Y SANTA FE AV.",AVENIDA,"JUSTO, JUAN B. AV.",14,MOTO-CARGAS,MOTO,CARGAS,2021_S1,DIURNO
2021-0039,1,2021-05-15,2021,5,15,12:09:00,12,"OLIDEN Y ALBERDI, JUAN BAUTISTA AV.",AVENIDA,OLIDEN,9,BICICLETA-AUTO,BICICLETA,AUTO,2021_S1,DIURNO
2021-0040,1,2021-05-20,2021,5,20,05:50:00,5,"PAZ, GRAL. AV. Y DEL LIBERTADOR AV.",GRAL PAZ,"PAZ, GRAL. AV.",13,MOTO-AUTO,MOTO,AUTO,2021_S1,NOCTURNO
2021-0041,1,2021-05-20,2021,5,20,08:30:00,8,DEL LIBERTADOR AV. Y CASARES AV.,AVENIDA,DEL LIBERTADOR AV.,14,PEATON-PASAJEROS,PEATON,PASAJEROS,2021_S1,DIURNO
2021-0042,1,2021-05-21,2021,5,21,05:00:00,5,RIVADAVIA AV. 10900,AVENIDA,RIVADAVIA AV.,9,PEATON-PASAJEROS,PEATON,PASAJEROS,2021_S1,NOCTURNO
2021-0043,1,2021-05-22,2021,5,22,18:26:00,18,"ALBERDI, JUAN BAUTISTA AV. Y PILAR",AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",9,PEATON-AUTO,PEATON,AUTO,2021_S1,DIURNO
2021-0044,1,2021-05-25,2021,5,25,02:00:00,2,"PERON, EVA AV. Y ACOSTA, MARIANO",AVENIDA,"PERON, EVA AV.",9,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021_S1,NOCTURNO
2021-0045,1,2021-05-26,2021,5,26,17:24:00,17,AU FRONDIZI Y SUAREZ AV.,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,MULTIPLE,MOTO,MULTIPLE,2021_S1,DIURNO
2021-0046,1,2021-05-31,2021,5,31,02:00:00,2,EL CANO AV. Y GUZMAN AV.,AVENIDA,ELCANO AV.,15,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2021_S1,NOCTURNO
2021-0047,1,2021-06-02,2021,6,2,16:00:00,16,"VEDIA, AGUSTIN DE Y RABANAL, FRANCISCO, INTENDENTE AV.",AVENIDA,"VEDIA, AGUSTIN DE",4,MOTO-AUTO,MOTO,AUTO,2021_S1,DIURNO
2021-0048,1,2021-06-03,2021,6,3,09:58:00,9,CAPDEVILLA Y CONGRESO AV.,AVENIDA,CAPDEVILA,12,BICICLETA-AUTO,BICICLETA,AUTO,2021_S1,DIURNO
2021-0049,1,2021-06-03,2021,6,3,20:30:00,20,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000",AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,AUTO-AUTO,AUTO,AUTO,2021_S1,NOCTURNO
2021-0050,1,2021-06-10,2021,6,10,13:30:00,13,DEL LIBERTADOR AV. 5958,AVENIDA,DEL LIBERTADOR AV.,13,MOTO-PASAJEROS,MOTO,PASAJEROS,2021_S1,DIURNO
2021-0051,1,2021-06-15,2021,6,15,19:20:00,19,27 DE FEBRERO AV. Y EREZCANO AV.,AVENIDA,27 DE FEBRERO AV.,4,PEATON-CARGAS,PEATON,CARGAS,2021_S1,NOCTURNO
2021-0052,1,2021-06-20,2021,6,20,05:40:00,5,"PAZ, GRAL. AV. 14723",GRAL PAZ,"PAZ, GRAL. AV.",8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021_S1,NOCTURNO
2021-0053,1,2021-06-20,2021,6,20,12:00:00,12,CORRIENTES AV. 5783,AVENIDA,CORRIENTES AV.,15,PEATON-BICICLETA,PEATON,BICICLETA,2021_S1,DIURNO
2021-0054,1,2021-06-22,2021,6,22,14:44:00,14,TABARE Y EREZCANO,CALLE,TABARE,4,MOTO-CARGAS,MOTO,CARGAS,2021_S1,DIURNO
2021-0055,1,2021-06-29,2021,6,29,12:20:00,12,CORRIENTES AV. Y PUEYRREDOR AV.,AVENIDA,CORRIENTES AV.,3,MOTO-CARGAS,MOTO,CARGAS,2021_S1,DIURNO
2021-0056,1,2021-07-09,2021,7,9,23:25:00,23,"CORRALES Y MORENO, PERITO AV.",AVENIDA,CORRALES,4,BICICLETA-AUTO,BICICLETA,AUTO,2021_S2,NOCTURNO
